time,lat,lon,pitch,roll,yaw,pitch_rate,roll_rate,yaw_rate,pitch_gain,roll_gain,yaw_gain,pitch_setpoint,roll_setpoint,yaw_setpoint,throttle_setpoint,editing_gain
1420320,0.0,0.0,-145.8093719482422,149.04322814941406,-64.89669036865234,-0.4203158915042877,0.09319700300693512,0.0032937005162239075,0.0,0.31496062874794006,25.944881439208984,19,50,-11,0,b'\x02'
1420540,0.0,0.0,-137.40945434570312,143.26937866210938,-62.13201904296875,-0.32329612970352173,0.14893017709255219,0.006243787705898285,0.0,0.31496062874794006,25.944881439208984,-18,48,-18,0,b'\x02'
1420760,0.0,0.0,-135.5771942138672,142.7382354736328,-60.6593017578125,-0.060455527156591415,0.12268930673599243,0.009909514337778091,0.0,0.31496062874794006,25.944881439208984,-64,49,-18,0,b'\x02'
1420980,0.0,0.0,-139.2209930419922,147.0115203857422,-61.12653350830078,0.1375909298658371,0.05996062979102135,0.02386702224612236,0.0,0.31496062874794006,25.944881439208984,-70,50,-15,0,b'\x02'
1421200,0.0,0.0,-143.91790771484375,151.9910125732422,-62.74136734008789,0.15909990668296814,0.02300615981221199,0.07524283230304718,0.0,0.31496062874794006,25.944881439208984,-55,74,-10,0,b'\x02'
1421420,0.0,0.0,-145.98458862304688,153.82518005371094,-63.64189910888672,0.03366103768348694,0.024849403649568558,0.03797539323568344,0.0,0.31496062874794006,25.944881439208984,-21,83,-5,0,b'\x02'
1421640,0.0,0.0,-141.50599670410156,148.12144470214844,-62.66293716430664,-0.2977150082588196,-0.21077507734298706,0.01490606740117073,0.0,0.31496062874794006,25.944881439208984,-43,80,9,0,b'\x02'
1422080,0.0,0.0,-138.93231201171875,141.87017822265625,-61.80158233642578,0.11250530183315277,0.1481112241744995,0.08933794498443604,0.0,0.31496062874794006,25.944881439208984,-70,44,-24,0,b'\x02'
1422300,0.0,0.0,-137.15232849121094,141.82676696777344,-63.05846405029297,0.5013471245765686,-0.24260103702545166,0.106317438185215,0.0,0.31496062874794006,25.944881439208984,-56,48,-17,0,b'\x02'
1422740,0.0,0.0,-119.70310974121094,128.11769104003906,-67.05614471435547,-0.268657386302948,0.2047836035490036,0.33634716272354126,0.0,0.31496062874794006,25.944881439208984,-93,66,-8,0,b'\x02'
1422960,0.0,0.0,-107.6951675415039,116.03140258789062,-70.09424591064453,-0.8745277523994446,0.05318937450647354,0.6333907246589661,0.0,0.31496062874794006,25.944881439208984,-108,60,-18,0,b'\x02'
1423180,0.0,0.0,-89.83513641357422,99.21703338623047,-71.3012466430664,0.057187460362911224,0.19443652033805847,0.1795959323644638,0.0,0.31496062874794006,25.944881439208984,-115,49,-17,1,b'\x02'
